budget,output_dir,review_mode,applied_reviews,rows,micro_f1,macro_f1,micro_precision,micro_recall,macro_precision,macro_recall,hamming_loss,jaccard_samples,subset_accuracy
50,human_in_the_loop_srbh2020\budget_50,simulated_oracle,50,8006,0.7174855050350931,0.3351416616320211,0.7087050880154329,0.7264862192559635,0.3667490343506982,0.35584153726155837,0.04447625819097215,0.7198767590973436,0.707094678990757
100,human_in_the_loop_srbh2020\budget_100,simulated_oracle,100,8006,0.7221238938053097,0.34641515781149346,0.7132867132867133,0.7311827956989247,0.380426717388172,0.36494459723634165,0.04374603662637637,0.7246231992672162,0.7118411191606295
200,human_in_the_loop_srbh2020\budget_200,simulated_oracle,200,8006,0.7319097010372179,0.37246476681785334,0.7227376792384624,0.7413175132863675,0.47216835139741736,0.39243398841634974,0.04221833624781414,0.7342409859272212,0.7214589058206345
